species,n,precision,recall,f1,shape_variance
confusus,200,0.9900990099009901,1.0,0.9950248756218906,0.0005385613435350579
lapidarius,203,0.900497512437811,0.8916256157635468,0.8960396039603961,0.0005196351416598032
monticola,195,0.9641025641025641,0.9641025641025641,0.9641025641025641,0.0006080405643388537
pomorum,210,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.0004836129503044525
pratorum,295,0.9789473684210527,0.9457627118644067,0.9620689655172414,0.0006844879195623415
pyrenaeus,232,0.8945147679324894,0.9137931034482759,0.9040511727078892,0.0004724077492384709
ruderarius,213,0.8649789029535865,0.9624413145539906,0.9111111111111111,0.000718043746856036
rupestris,140,1.0,0.9428571428571428,0.9705882352941176,0.003754983890588186
sichelii,192,0.8535353535353535,0.8802083333333334,0.8666666666666667,0.0006067574331680634
soroeensis,239,0.9829059829059829,0.9623430962343096,0.9725158562367865,0.0005955129314537181
sylvarum,238,0.9864864864864865,0.9201680672268907,0.9521739130434783,0.0005917131805956146
wurflenii,214,0.981651376146789,1.0,0.9907407407407407,0.0005246379402454117
