,n,shape_variance_intra
confusus,192,0.0005748118073066553
lapidarius,345,0.0006099753748329839
lucorum,28,0.00030086555739920046
monticola,203,0.0006090316759210387
pascuorum,152,0.0005852184210781693
pomorum,214,0.0004673883955991033
pratorum,333,0.0006530871071306501
pyrenaeus,239,0.0004809407336365325
ruderarius,238,0.0007476005799402875
rupestris,141,0.004399966905314891
sichelii,208,0.000667237264653863
soroeensis,267,0.0006070682100646523
sylvarum,259,0.0005826514342670823
terrestris,177,0.0007582679905855097
vestalis,28,0.0002641227754574549
wurflenii,223,0.0005726308605444379
